时间,微压差
149.77,-77
149.88,-60
149.97,-69
150.03,-74
150.08,-78
150.19,-83
150.24,-85
150.3,-85
150.39,-89
150.45,-93
150.5,-96
150.55,-99
150.61,-100
150.7,-103
150.77,-105
150.88,-110
150.97,-113
151.03,-115
151.08,-116
151.19,-118
151.24,-120
151.3,-123
151.39,-128
151.45,-129
151.5,-130
151.55,-131
151.61,-131
151.72,-135
151.77,-138
151.88,-142
151.97,-143
152.03,-145
152.11,-146
152.22,-151
152.27,-154
152.38,-155
152.47,-158
152.53,-160
152.58,-160
152.64,-163
152.69,-165
152.74,-166
152.8,-167
152.89,-169
152.95,-171
153,-173
153.06,-176
153.11,-178
153.22,-179
153.27,-179
153.38,-181
153.49,-186
153.58,-190
153.64,-190
153.69,-191
153.74,-192
153.8,-194
153.91,-196
154,-200
154.06,-202
154.11,-202
154.22,-204
154.27,-207
154.33,-209
154.42,-213
154.49,-213
154.58,-214
154.64,-215
154.69,-216
154.75,-219
154.8,-221
154.91,-224
155,-225
155.06,-227
155.11,-229
155.22,-231
155.27,-167
155.33,-56
155.42,-62
155.49,-66
155.58,-74
155.64,-78
155.69,-82
155.75,-84
155.8,-84
155.88,-87
155.99,-93
156.09,-99
156.19,-101
156.25,-102
156.3,-103
156.41,-108
156.52,-113
156.61,-117
156.67,-117
156.72,-119
156.77,-119
156.83,-121
156.92,-126
156.99,-129
157.09,-131
157.19,-133
157.25,-135
157.3,-138
157.41,-141
157.52,-143
157.67,-147
157.72,-149
157.77,-152
157.83,-154
157.94,-156
157.99,-157
158.09,-158
158.19,-163
158.25,-165
158.3,-167
158.36,-168
158.45,-169
158.52,-172
158.61,-176
158.67,-178
158.72,-178
158.78,-180
158.83,-180
158.94,-182
158.99,-184
159.09,-189
159.19,-191
159.25,-192
159.3,-193
159.36,-193
159.45,-197
159.52,-200
159.61,-203
159.67,-203
159.72,-204
159.78,-205
159.83,-207
159.94,-212
159.99,-213
160.09,-214
160.2,-215
160.25,-217
160.3,-219
160.36,-221
160.45,-223
160.52,-224
160.63,-226
160.72,-228
160.78,-231
160.83,-232
160.94,-59
160.99,-59
161.05,-64
161.14,-74
161.2,-78
161.25,-81
161.3,-81
161.36,-84
161.47,-87
161.52,-90
